episode,max,mean,min
38.0,36.78999917767942,27.656499381829054,21.429999521002173
39.0,36.17999919131398,29.848499332834034,22.509999496862292
40.0,35.759999200701714,29.962999330274762,25.149999437853694
41.0,39.039999127388,32.5829992717132,26.52999940700829
42.0,35.04999921657145,30.474499318841843,18.649999583140016
43.0,37.75999915599823,32.011499284487215,25.969999419525266
44.0,38.209999145939946,31.300499300379307,19.2899995688349
45.0,36.619999181479216,32.84599926583469,29.919999331235886
46.0,39.45999911800027,34.833499221410605,29.559999339282513
47.0,38.789999132975936,35.111499215196815,25.20999943651259
48.0,38.509999139234424,35.82999919913709,27.319999389350414
49.0,38.18999914638698,35.648999203182754,31.94999928586185
50.0,39.369999120011926,36.62699918132275,31.40999929793179
51.0,39.039999127388,36.14249919215217,30.70999931357801
52.0,39.599999114871025,37.588999159820375,34.139999236911535
53.0,39.53999911621213,37.17049916917458,34.50999922864139
54.0,38.90999913029373,36.20349919078872,30.379999320954084
55.0,39.479999117553234,35.455999207496646,30.729999313130975
56.0,39.54999911598861,37.97549915118143,34.53999922797084
57.0,39.56999911554158,37.5209991613403,33.64999924786389
58.0,39.4999991171062,37.821499154623595,33.72999924607575
59.0,39.54999911598861,37.5334991610609,34.879999220371246
60.0,39.50999911688268,37.87199915349483,34.93999921903014
61.0,39.60999911464751,37.98249915102497,35.35999920964241
62.0,39.45999911800027,38.3644991424866,36.59999918192625
63.0,39.60999911464751,37.93299915213138,34.179999236017466
64.0,39.58999911509454,38.02899914998561,33.48999925144017
65.0,39.2699991222471,37.96499915141612,34.73999922350049
66.0,39.599999114871025,38.37499914225191,36.27999918907881
67.0,39.54999911598861,38.35799914263189,36.67999918013811
68.0,39.53999911621213,38.213999145850536,36.74999917857349
69.0,39.599999114871025,38.83999913185835,37.549999160692096
70.0,39.58999911509454,38.25199914500117,36.3999991863966
71.0,39.62999911420047,38.7064991348423,34.879999220371246
72.0,39.599999114871025,38.43299914095551,32.24999927915633
73.0,39.56999911554158,37.645499158557506,33.289999255910516
74.0,39.57999911531806,38.497999139502646,34.73999922350049
75.0,39.599999114871025,38.23499914538115,33.19999925792217
76.0,39.62999911420047,38.55799913816154,30.5999993160367
77.0,39.639999113976955,38.56399913802743,36.51999918371439
78.0,39.62999911420047,38.358999142609534,35.0799992159009
79.0,39.57999911531806,38.52249913895503,35.62999920360744
80.0,39.599999114871025,38.17849914664403,36.379999186843634
81.0,39.53999911621213,38.131499147694555,34.96999921835959
82.0,39.56999911554158,37.92399915233254,35.38999920897186
83.0,39.57999911531806,38.126499147806314,31.63999929279089
84.0,39.57999911531806,38.81299913246185,36.46999918483198
85.0,39.58999911509454,38.64249913627282,35.66999920271337
86.0,39.58999911509454,38.67349913557992,34.27999923378229
87.0,39.64999911375344,38.446499140653756,35.59999920427799
88.0,39.22999912314117,38.17099914681167,35.839999198913574
89.0,39.409999119117856,38.262999144755305,34.49999922886491
90.0,39.50999911688268,38.377999142184855,35.13999921455979
91.0,39.60999911464751,38.38899914193898,36.8599991761148
92.0,39.519999116659164,38.16199914701283,34.3899992313236
93.0,39.439999118447304,38.30349914385006,35.36999920941889
94.0,39.58999911509454,37.393999164178965,31.94999928586185
95.0,39.599999114871025,37.848499154020104,35.97999919578433
96.0,39.64999911375344,38.35549914268777,34.839999221265316
97.0,39.599999114871025,38.63049913654104,37.509999161586165
98.0,39.599999114871025,37.917999152466656,35.31999921053648
99.0,39.52999911643565,36.017999194934966,29.539999339729548
100.0,39.58999911509454,37.72599915675819,34.04999923892319
101.0,39.53999911621213,37.18849916877225,33.60999924875796
102.0,39.17999912425876,37.813499154802415,33.41999925300479
103.0,39.08999912627041,36.85199917629361,27.939999375492334
104.0,39.33999912068248,36.906999175064264,31.539999295026064
105.0,39.599999114871025,37.4589991627261,33.95999924093485
